# zcat ./PrinTE/data/maize_rice_arab_curated_TE.lib.gz   | grep '>'   | cut -d'#' -f2-   | sort   | uniq -c   | sort -nr
	
# TE_class   TE_superfamily   intact_frequency	fragmented_frequency	transposition
DNA	Helitron	0.07	0.07	copypaste
DNA	DTA	0.06	0.06	cutpaste
DNA	DTC	0.05	0.05	cutpaste
DNA	DTM	0.08	0.08	cutpaste
MITE	DTH	0.07	0.07	cutpaste
SINE	unknown	0.06	0.06	copypaste
LTR	Gypsy	0.19	0.19	copypaste
LTR	Copia	0.18	0.18	copypaste
DNA	DTH	0.04	0.04	cutpaste
MITE	DTA	0.04	0.04	cutpaste
DNAnona	MULE	0.03	0.03	cutpaste
MITE	DTM	0.03	0.03	cutpaste
DNAnona	hAT	0.02	0.02	cutpaste
MITE	DTT	0.02	0.02	cutpaste
MITE	Tourist	0.01	0.01	cutpaste
LINE	unknown	0.01	0.01	copypaste
DNAnona	MULEtir	0.01	0.01	cutpaste
MITE	DTC	0.01	0.01	cutpaste
LTR	unknown	0.01	0.01	copypaste
